,행정동명,시군구명,행정동명.1,행정동코드,버스정류소개수,음식점개수,주점개수,지하철역개수,자동차소유대수,예측건수
175,송파구 잠실7동,송파구,잠실7동,1171072000,4.0,9.0,0.0,0.0,3642.0,-13.834123636795287
176,송파구 풍납1동,송파구,풍납1동,1171051000,6.0,59.0,13.0,0.0,4284.0,-2.941932524367644
177,송파구 송파2동,송파구,송파2동,1171059000,11.0,103.0,7.0,0.0,6712.0,3.9131795063199526
178,송파구 거여2동,송파구,거여2동,1171053200,10.0,77.0,19.0,0.0,7416.0,7.126339735065663
179,송파구 마천1동,송파구,마천1동,1171054000,12.0,101.0,31.0,0.0,5887.0,9.819946637768261
180,양천구 목1동,양천구,목1동,1147051000,25.0,336.0,45.0,2.0,11633.0,90.78736020489396
181,양천구 목2동,양천구,목2동,1147052000,14.0,119.0,21.0,2.0,8754.0,55.23303097550821
182,양천구 신정4동,양천구,신정4동,1147065000,17.0,325.0,66.0,0.0,9028.0,52.347782051766934
183,양천구 목3동,양천구,목3동,1147053000,10.0,138.0,35.0,1.0,6422.0,37.55852546436483
184,양천구 신정3동,양천구,신정3동,1147064000,59.0,89.0,17.0,1.0,16268.0,33.95531354151299
185,양천구 신정6동,양천구,신정6동,1147067000,22.0,36.0,0.0,0.0,8833.0,-4.293042951548436
186,양천구 신월6동,양천구,신월6동,1147061000,14.0,75.0,9.0,0.0,6987.0,1.2619700748729237
187,양천구 신월3동,양천구,신월3동,1147058000,11.0,63.0,20.0,0.0,5656.0,1.5891211023196377
188,양천구 신월2동,양천구,신월2동,1147057000,10.0,69.0,12.0,0.0,6770.0,2.3340595937017525
189,양천구 신월5동,양천구,신월5동,1147060000,13.0,91.0,22.0,0.0,4634.0,2.421312579918766
190,영등포구 여의동,영등포구,여의동,1156054000,58.0,1241.0,191.0,4.0,20629.0,292.8038853729823
191,영등포구 영등포동,영등포구,영등포동,1156053500,49.0,640.0,167.0,2.0,10571.0,156.9689989033529
192,영등포구 당산1동,영등포구,당산1동,1156055000,20.0,354.0,100.0,1.0,7716.0,83.87271782706185
193,영등포구 문래동,영등포구,문래동,1156060500,43.0,406.0,84.0,0.0,13986.0,71.15718706336352
194,영등포구 당산2동,영등포구,당산2동,1156056000,41.0,258.0,47.0,1.0,12907.0,60.60196174860295
195,영등포구 신길5동,영등포구,신길5동,1156067000,20.0,38.0,7.0,0.0,3400.0,-13.535536639650118
196,영등포구 신길4동,영등포구,신길4동,1156066000,13.0,51.0,11.0,0.0,3731.0,-7.87184763367075
197,영등포구 신길7동,영등포구,신길7동,1156069000,28.0,61.0,9.0,0.0,6702.0,-5.104167062793895
198,영등포구 신길3동,영등포구,신길3동,1156065000,23.0,93.0,17.0,0.0,4931.0,-1.3877621596950434
199,영등포구 도림동,영등포구,도림동,1156058500,24.0,79.0,28.0,0.0,5691.0,2.3330386069268556
200,용산구 한강로동,용산구,한강로동,1117062500,40.0,641.0,80.0,3.0,12285.0,153.98853312554178
201,용산구 이태원1동,용산구,이태원1동,1117065000,15.0,356.0,166.0,1.0,2310.0,96.04082957266738
202,용산구 한남동,용산구,한남동,1117068500,39.0,425.0,93.0,1.0,7488.0,83.08082908761153
203,용산구 남영동,용산구,남영동,1117053000,19.0,321.0,52.0,1.0,2660.0,52.27664844286074
204,용산구 이촌1동,용산구,이촌1동,1117063000,25.0,103.0,16.0,1.0,8907.0,28.36060603475289
205,용산구 효창동,용산구,효창동,1117058000,15.0,25.0,1.0,0.0,3246.0,-15.911866317687684
206,용산구 이촌2동,용산구,이촌2동,1117064000,10.0,21.0,2.0,0.0,2709.0,-15.750489418985385
207,용산구 원효로2동,용산구,원효로2동,1117057000,27.0,66.0,10.0,0.0,5039.0,-7.7307312426930075
208,용산구 후암동,용산구,후암동,1117051000,19.0,113.0,12.0,0.0,4014.0,-1.8350238850220641
209,용산구 보광동,용산구,보광동,1117070000,12.0,116.0,22.0,0.0,3072.0,1.8823421291557203
210,은평구 녹번동,은평구,녹번동,1138051000,27.0,179.0,39.0,2.0,10447.0,68.09887034861549
211,은평구 불광1동,은평구,불광1동,1138052000,36.0,173.0,45.0,2.0,10463.0,66.87465959074174
212,은평구 갈현1동,은평구,갈현1동,1138055100,42.0,243.0,93.0,1.0,5431.0,57.42035434310274
213,은평구 진관동,은평구,진관동,1138069000,71.0,254.0,18.0,1.0,17867.0,52.570624857594616
214,은평구 갈현2동,은평구,갈현2동,1138055200,31.0,222.0,52.0,1.0,7503.0,48.93122831317162
215,은평구 수색동,은평구,수색동,1138065000,18.0,49.0,21.0,0.0,4695.0,-3.8989627915886373
216,은평구 응암2동,은평구,응암2동,1138059000,34.0,82.0,14.0,0.0,8786.0,1.9437253742218843
217,은평구 구산동,은평구,구산동,1138056000,33.0,95.0,13.0,0.0,9339.0,4.597100597148049
218,은평구 신사2동,은평구,신사2동,1138063200,32.0,59.0,6.0,1.0,6210.0,11.766188591978874
219,은평구 불광2동,은평구,불광2동,1138053000,26.0,159.0,33.0,0.0,6484.0,14.101947862526636
220,종로구 종로1·2·3·4가동,종로구,종로1.2.3.4가동,1111061500,71.0,1350.0,377.0,3.0,6317.0,312.0772404029013
221,종로구 사직동,종로구,사직동,1111053000,28.0,573.0,111.0,1.0,8170.0,110.46097198974172
222,종로구 종로5·6가동,종로구,종로5.6가동,1111063000,21.0,331.0,106.0,1.0,1749.0,69.41014092212347
223,종로구 숭인2동,종로구,숭인2동,1111071000,9.0,120.0,34.0,2.0,2185.0,46.24352970463858
224,종로구 혜화동,종로구,혜화동,1111065000,37.0,341.0,87.0,0.0,3505.0,42.74140902427039
225,종로구 창신3동,종로구,창신3동,1111069000,6.0,19.0,1.0,0.0,1657.0,-17.543609251409784
226,종로구 교남동,종로구,교남동,1111058000,23.0,53.0,6.0,0.0,2942.0,-14.176593587169203
227,종로구 부암동,종로구,부암동,1111055000,33.0,62.0,12.0,0.0,3140.0,-13.628753561809484
228,종로구 무악동,종로구,무악동,1111057000,4.0,24.0,2.0,0.0,2796.0,-13.433232758911005
229,종로구 평창동,종로구,평창동,1111056000,55.0,71.0,22.0,0.0,6629.0,-7.705279041650499
230,중구 을지로동,중구,을지로동,1114060500,16.0,375.0,137.0,2.0,1610.0,106.62489575930422
231,중구 명동,중구,명동,1114055000,34.0,669.0,72.0,1.0,7790.0,104.85007781858155
232,중구 소공동,중구,소공동,1114052000,34.0,459.0,54.0,2.0,4174.0,87.62949990618316
233,중구 회현동,중구,회현동,1114054000,35.0,344.0,22.0,2.0,11612.0,80.66763867496206
234,중구 필동,중구,필동,1114057000,10.0,290.0,94.0,1.0,2110.0,64.84106264562871
235,중구 동화동,중구,동화동,1114066500,6.0,71.0,10.0,0.0,2920.0,-5.795233964044279
236,중구 다산동,중구,다산동,1114062500,8.0,119.0,30.0,0.0,3352.0,6.821021416689092
237,중구 장충동,중구,장충동,1114058000,13.0,105.0,5.0,1.0,1304.0,10.869171333170584
238,중구 신당5동,중구,신당5동,1114065000,9.0,166.0,40.0,0.0,2990.0,14.333397873357157
239,중구 황학동,중구,황학동,1114067000,6.0,199.0,33.0,0.0,3461.0,17.516012333094956
240,중랑구 망우본동,중랑구,망우본동,1126065500,57.0,294.0,81.0,2.0,11189.0,88.09282775092419
241,중랑구 상봉2동,중랑구,상봉2동,1126059000,14.0,334.0,116.0,1.0,5353.0,83.57439582978157
242,중랑구 면목본동,중랑구,면목본동,1126056500,26.0,260.0,69.0,1.0,8022.0,61.69106383789222
243,중랑구 중화2동,중랑구,중화2동,1126061000,28.0,230.0,57.0,1.0,6185.0,49.41026600604909
244,중랑구 묵1동,중랑구,묵1동,1126062000,32.0,165.0,32.0,1.0,10614.0,42.5724439571942
245,중랑구 면목5동,중랑구,면목5동,1126055000,13.0,61.0,9.0,0.0,4711.0,-5.212066651241631
246,중랑구 중화1동,중랑구,중화1동,1126060000,14.0,53.0,7.0,0.0,5571.0,-5.10785247994157
247,중랑구 신내2동,중랑구,신내2동,1126069000,20.0,77.0,8.0,0.0,6891.0,-0.8721179500904306
248,중랑구 망우3동,중랑구,망우3동,1126066000,10.0,72.0,19.0,0.0,5274.0,1.653391595407399
249,중랑구 묵2동,중랑구,묵2동,1126063000,19.0,137.0,54.0,0.0,5620.0,19.059481488711675
